AÑO,MUNICIPIOS,NUMERO DE VACAS EN ORDEÑO,PRODUCCION VACA/DIA (Litros),PRODUCCION LECHE/DIA (Litros),PRODUCCIÓN LECHE/AÑO (Litros)
2016,BUENAVISTA,5032,3,13586,4959036
2016,CAIMITO,6204,3,17371,6340488
2016,CHALÁN,633,2,1393,508299
2016,COLOSÓ,900,4,3159,1153035
2016,COROZAL,6020,3,20468,7470820
2016,COVEÑAS,600,3,1800,657000
2016,EL ROBLE,3565,2,7130,2602450
2016,GALERAS,9164,3,25201,9198365
2016,GUARANDA,6053,3,16343,5965232
2016,LA UNIÓN,5485,2,10970,4004050
2016,LOS PALMITOS,4984,3,12460,4547900
2016,MAJAGUAL,18300,3,51240,18702600
2016,MORROA,2271,4,7949,2901203
2016,OVEJAS,4240,3,11872,4333280
2016,SAMPUÉS,4386,3,11754,4290385
2016,SAN ANTONIO DE PALMITO,3870,4,13777,5028678
2016,SAN BENITO ABAD,15773,4,55363,20207579
2016,SAN JUAN DE BETULIA,6380,2,14036,5123140
2016,SAN MARCOS,18938,3,56814,20737110
2016,SAN ONOFRE,13630,3,40890,14924850
2016,SAN PEDRO,6086,3,15215,5553475
2016,SINCÉ,18992,2,43682,15943784
2016,SINCELEJO,6837,4,27348,9982020
2016,SUCRE,9960,2,17928,6543720
2016,TOLU,5740,3,18196,6641467
2016,TOLUVIEJO,3926,3,11778,4298970
2017,BUENAVISTA,6020,4,21070,7690550
2017,CAIMITO,6360,3,17808,6499920
2017,CHALÁN,681,3,1703,621413
2017,COLOSÓ,937,4,3748,1368020
2017,COROZAL,8646,3,28248,10310520
2017,COVEÑAS,774,3,2322,847530
2017,EL ROBLE,4163,2,8326,3038990
2017,GALERAS,12478,3,37434,13663410
2017,GUARANDA,7412,3,20012,7304526
2017,LA UNIÓN,5586,2,11172,4077780
2017,LOS PALMITOS,6876,4,24066,8784090
2017,MAJAGUAL,18852,3,52786,19266744
2017,MORROA,2286,4,8001,2920365
2017,OVEJAS,4240,3,11872,4333280
2017,SAMPUÉS,5656,3,14762,5388130
2017,SAN ANTONIO DE PALMITO,4005,3,13949,5091203
2017,SAN BENITO ABAD,15773,3,47319,17271435
2017,SAN JUAN DE BETULIA,7289,2,16036,5853067
2017,SAN MARCOS,18962,3,56886,20763390
2017,SAN ONOFRE,14200,3,42600,15549000
2017,SAN PEDRO,6925,3,17313,6319063
2017,SINCÉ,22849,2,47983,17513759
2017,SINCELEJO,5618,4,23788,8682620
2017,SUCRE,19081,2,34346,12536217
2017,TOLU,6352,3,19056,6955440
2017,TOLUVIEJO,4329,3,12987,4740255
2018,BUENAVISTA,7480,4,28424,10374760
2018,CAIMITO,5630,3,15764,5753860
2018,CHALÁN,802,3,2406,878190
2018,COLOSÓ,900,3,2250,821250
2018,COROZAL,9500,3,28500,10402500
2018,COVEÑAS,850,3,2550,930750
2018,EL ROBLE,4100,2,8200,2993000
2018,GALERAS,14000,3,42000,15330000
2018,GUARANDA,6671,3,17878,6525572
2018,LA UNIÓN,5861,2,11722,4278530
2018,LOS PALMITOS,7400,3,24420,8913300
2018,MAJAGUAL,19830,3,55524,20266260
2018,MORROA,3145,4,11008,4017738
2018,OVEJAS,5641,3,15795,5765102
2018,SAMPUÉS,6797,3,16993,6202263
2018,SAN ANTONIO DE PALMITO,3825,3,11475,4188375
2018,SAN BENITO ABAD,15545,3,38863,14184813
2018,SAN JUAN DE BETULIA,8330,2,18326,6688990
2018,SAN MARCOS,17161,3,51483,18791295
2018,SAN ONOFRE,19740,3,59220,21615300
2018,SAN PEDRO,7228,3,18070,6595550
2018,SINCÉ,19186,2,42209,15406358
2018,SINCELEJO,7385,4,29540,10782100
2018,SUCRE,20199,2,36358,13270743
2018,TOLU,6292,3,18876,6889740
2018,TOLUVIEJO,4612,3,13836,5050140
